Error                          Corrected                     
Lovvoro                        Lovoro                        
zovw                           Sovu                          
bakho                          Bakho                         
NOKHIHATU                      Nokhihatu                     
Khaug                          Khagu                         
Jejhabikoo                     Jejhabiko                     
hashi                          Hashi                         
TABOVO                         Tabovo                        
paCHAS                         Pachas                        
Shaholela                      Suholela                      
Kmou                           Komu                          
kudhazabe                      Kudhasabe                     
Veeggauka                      Veeggauka                     
vALOhOLo                       Vuloholo                      
Reotakati                      Retakati                      
sherora                        Sherora                       
Hejojjo                        Hejojo                        
Conee                          Chone                         
Nayathee                       Nayathee                      
lidutu                         Lidutu                        
iNtolave                       Nitolave                      
Khitavi                        Khitevi                       
Khuvmai                        Khuvami                       
SSoni                          Soni                          
RPAO                           Rapo                          
Chokhaashi                     Chokhashi                     
NAKKHU                         Nakhu                         
Nneghu                         Nekhu                         
Tudogne                        Tudone                        
Dabhahsa                       Dabhasha                      
Sohachvauki                    Sohachvauki                   
PiHalU                         Pihalu                        
Chhakonadha                    Chhakanadha                   
Nakh                           Naka                          
malu                           Malu                          
Temmi                          Temi                          
lOyatO                         Loyato                        
era                            Vera                          
Machhuchi                      Machuchi                      
Twhashuhu                      Thashuhu                      
Phapauule                      Phapajule                     
dMuchaa                        Duchha                        
MMamite                        Mamite                        
jogha                          Jogha                         
Molle                          Mole                          
Jojui                          Joji                          
gechha                         Gechha                        
Rteeevudhe                     Rteeevudhe                    
Kabucuhi                       Kabuchuhi                     
Chipuu                         Chipu                         
Mahu                           Nahu                          
Muca                           Muka                          
PASHE                          Pashe                         
uNte                           Unt                           
YAHI                           Yahi                          
RIJEKA                         Rijeka                        
ugha                           Usha                          
Lahe                           Lahe                          
Sehlu                          Shelu                         
JIGE                           Jige                          
Vihbi                          Vibi                          
VOJHa                          Vojha                         
doki                           Doki                          
NUHASE                         Nuhase                        
DUULA                          Dhala                         
Sigii                          Sigini                        
Wehureku                       Vehureka                      
gEjAtUtO                       Gejatuto                      
sETHaru                        Setharu                       
aeetu                          Geeta                         
Luthed                         Lutha                         
CHUCHHACHA                     Chuchhacha                    
Bulilu                         Boliru                        
odhakha                        Dhakha                        
Yuguyaa                        Yaguya                        
Ncoha                          Nocha                         
Milsoho                        Milosho                       
Thaenvike                      Thanevike                     
rahu                           Rahu                          
jurakhila                      Jurakhila                     
Tibacho                        Tibecha                       
oMlu                           Molu                          
Pamako                         Bamako                        
Jkiho                          Jukiho                        
shedoo                         Shedo                         
Huhi                           Hahi                          
Hihina                         Hehina                        
vopha                          Vopha                         
hachu                          Hashu                         
zHejo                          Hejo                          
SHALO                          Shalo                         
Kujia                          Kuji                          
Banu                           Bano                          
PPimisida                      Pimisida                      
Nasoq                          Neso                          
qChovivu                       Chovivu                       
Tve                            Tive                          
Yachhau                        Yachha                        
zungle                         Jungle                        
PHAPAJULd                      Phapajule                     
Phadwpa                        Phadapa                       
NNIA                           Nani                          
Tharesiha                      Tharesha                      
jihochu                        Jihochu                       
aSjha                          Asha                          
Vipwghashi                     Vipwghashi                    
Suubah                         Subah                         
Hejpe                          Hejope                        
Liimu                          Limu                          
KOCHI                          Kochi                         
reyh                           Raya                          
Vele                           Vele                          
kesi                           Kesi                          
kevIRiShe                      Kevirishe                     
Juchus                         Juchu                         
Loomu                          Lomu                          
aNmaste                        Namaste                       
Daamem                         Damame                        
Shatheho                       Shateho                       
Dehu                           Deha                          
Thagthave                      Tathave                       
Roo                            Roro                          
Chamefmi                       Chamemi                       
Nivxu                          Nivu                          
bilu                           Bilu                          
HEGI                           Hegi                          
Dhachhrhi                      Dhachhrhi                     
Chhhari                        Chhari                        
BUSHA                          Busha                         
Huby                           Hubu                          
mokhopba                       Nokhopa                       
terah                          Terah                         
BUKO                           Buko                          
Pidu                           Pitu                          
aJli                           Jali                          
pIJI                           Piji                          
Mesessu                        Mesesu                        
Hessa                          Hesa                          
Shegizupo                      Shegisupo                     
Wasiag                         Vasiga                        
Kegadu                         Kegudu                        
Lushihja                       Lushihja                      
TThape                         Thape                         
fabhasha                       Dabhasha                      
MaluKha                        Malukha                       
SHATHA                         Shatha                        
fShebha                        Shebha                        
Tiroli                         Tirale                        
omuu                           Muru                          
Garreeb                        Gareeb                        
Neap                           Nepa                          
HuLuKO                         Huluko                        
Dmei                           Demi                          
Chasra                         Chasa                         
Mateg                          Mate                          
oute                           Nute                          
Raki                           Reki                          
bogu                           Bogu                          
Jkahi                          Jakhi                         
Fojachu                        Pojachu                       
DUNATHA                        Dunatha                       
Qevirishe                      Kevirishe                     
Tuvva                          Tuva                          
Pahte                          Phate                         
Yowo                           Yavo                          
Hebhke                         Hebhake                       
Jidamy                         Jidamu                        
Vaka                           Vaka                          
Jalegaja                       Jalegajo                      
hekha                          Hekha                         
Chehafa                        Chehara                       
Mskihu                         Makihu                        
QjkaNI                         Kani                          
guho                           Guho                          
pHaMUpalI                      Phamupali                     
Pohiage                        Pohage                        
SIR                            Sir                           
Vazu                           Vadu                          
Ghaus                          Ghasu                         
Kuha                           Kuha                          
Gekk                           Geki                          
Pipaagha                       Pipagha                       
Peefagha                       Peefagha                      
Hedho                          Hedo                          
Dhau                           Dhasu                         
SAU                            Sau                           
Jhialli                        Jhialli                       
Tika                           Tika                          
Jogili                         Jogeli                        
VJCHA                          Vacha                         
Gachogooni                     Gachoguni                     
Sicho                          Sicho                         
HISHUPha                       Hishupha                      
Uses                           Juse                          
Jlse                           Juse                          
kachua                         Kacha                         
Phaahanna                      Phahana                       
SHEMEHO                        Shemeho                       
Jje                            Jaje                          
mecha                          Mecha                         
BUSASHU                        Busashu                       
Dhaabote                       Dhabote                       
PhaPA                          Phapa                         
Koco                           Komo                          
haDHA                          Hadha                         
evagi                          Phagi                         
Haday                          Hada                          
Mokha                          Mocha                         
Hedhci                         Hechi                         
nOMEluPuu                      Nomelupu                      
eBho                           Beho                          
Pevia                          Pevipa                        
Son                            Sona                          
DEJU                           Deju                          
Shaa                           Shaam                         
Roapjha                        Ropajha                       
mahi                           Mahi                          
Ashha                          Asha                          
Neekha                         Teekha                        
Lasci                          Lassi                         
Vivenee                        Vivenee                       
puchii                         Puchi                         
Nomelupi                       Nomelupu                      
Kujhughaa                      Kujhagha                      
GIDo                           Gido                          
Neig                           Negi                          
iikhoke                        Vikhoke                       
PPila                          Pila                          
NUDA                           Nuda                          
vadi                           Vadi                          
Lohhana                        Lohana                        
iMtti                          Mitti                         
Nubu                           Nabu                          
Shoa                           Shona                         
Khacnhha                       Khachha                       
Mabee                          Mabe                          
Baku                           Baku                          
Bukoo                          Bukho                         
santosh                        Santosh                       
TICHI                          Tichi                         
Phameri                        Phamili                       
Rgo                            Rego                          
arhi                           Pihi                          
Liafo                          Licho                         
Chodojuju                      Chodujuju                     
Yusujovu                       Yasujovu                      
rotha                          Rotha                         
Khichudkho                     Khichudakho                   
bHAhki                         Bhakhi                        
HiDIre                         Hidire                        
kHOdOlo                        Khodolo                       
BAvA                           Bava                          
oPme                           Pome                          
Jhzho                          Jesho                         
Tatoguli                       Thatoguli                     
Bishhevekhu                    Bishevikhu                    
Jaad                           Jad                           
sshoje                         Shoje                         
Khabu                          Khavu                         
Khukajea                       Khukaja                       
Repopfu                        Repopu                        
PAIRR                          Pair                          
Tusau                          Tusa                          
GUCHO                          Gucho                         
Natoo                          Nato                          
kesa                           Kesa                          
phapu                          Phapu                         
NEBU                           Nebu                          
Dhoyahe                        Doyahe                        
LANOME                         Lanome                        
Chayabaru                      Chhayabaru                    
Shivaaje                       Shivaje                       
Kaahedi                        Kahedi                        
BhAJeJi                        Bhajeji                       
KHObA                          Khoba                         
Rodah                          Rodha                         
Lighakhushhi                   Lighakhushi                   
LOKA                           Loka                          
Khepo                          Khipo                         
pudaohh                        Pudaho                        
Lolibu                         Roribu                        
hbuti                          Hibuti                        
subhakha                       Subhakha                      
LUMOKHU                        Lumokhu                       
Juhbagu                        Jubhagu                       
NNuhase                        Nuhase                        
Hipah                          Hipa                          
Qkhine                         Kine                          
Dado                           Dada                          
Rnikhari                       Rikhari                       
lebUjIShe                      Lebujishe                     
Phtae                          Phate                         
Shooruchu                      Shuruchu                      
Chicho                         Chucho                        
Chvia                          Chiva                         
Vedhi                          Vechi                         
Dhanoma                        Danoma                        
chuhu                          Chuhu                         
do                             Do                            
Khibesaa                       Khibesa                       
Shhodeme                       Shodeme                       
Tatubi                         Totuvi                        
kushu                          Kushu                         
VVegoka                        Vegoka                        
HEKHA                          Hekha                         
PPivojuhi                      Pivojuhi                      
Girhari                        Gilhari                       
Kuem                           Kume                          
KKhashe                        Khashe                        
ulugo                          Bulugo                        
uugade                         Jugade                        
Nes                            Nesa                          
Lumokhhu                       Lumokhu                       
GIHI                           Gihi                          
pivujuhy                       Pivojuhi                      
RUTUUCHHLAO                    Rutuchhalo                    
Tibyno                         Tibuno                        
buko                           Buko                          
Hdee                           Hede                          
sALINu                         Salinu                        
Mibaji                         Mubaji                        
gennn                          Geni                          
Khotu                          Chotu                         
Beghathaa                      Beghatha                      
Pikhhagha                      Vichhagha                     
Khoji                          Khoju                         
Siloli                         Silali                        
KALICHU                        Kalichu                       
Chomo                          Choma                         
sutu                           Sutu                          
Nsosha                         Sosha                         
SAVUGORU                       Savugoru                      
Rimzysho                       Rimzysho                      
chajha                         Chajha                        
Nudo                           Nudo                          
Baeno                          Bano                          
gachoguni                      Gachoguni                     
Jilaa                          Jili                          
dhaanyaoad                     dhaanyaoad                    
cKeju                          Keju                          
pOJHapu                        Pojhapu                       
Vibonu                         Viponu                        
Jusoto                         Judoto                        
gigijava                       Gigijava                      
zetharuu                       Setharu                       
Hajo                           Hejo                          
Byo                            Bua                           
Gaue                           Gade                          
Laashu                         Lashu                         
Lsasi                          Lassi                         
Romasu                         Lomasu                        
Vejiye                         Vejiya                        
Dhichaa                        Khichha                       
yepha                          Lepha                         
tabovo                         Tabovo                        
Gzcha                          Gecha                         
GHAGU                          Ghagu                         
khoje                          Khoje                         
huba                           Huba                          
iHedde                         Hede                          
MOOKHGUI                       Mokhugi                       
Tuhegat                        Tuhega                        
Phakkidi                       Phakidi                       
alebo                          Dalebo                        
Rajeessh                       Rajesh                        
Lahdu                          Lidu                          
PHaIMli                        Phamili                       
RILUU                          Rilu                          
Nlhi                           Nahi                          
Rishfishu                      Rishishu                      
shudile                        Shudile                       
neyatha                        Neyatha                       
Nuike                          Nukike                        
Tau                            Nau                           
PHAUMBARI                      PHAUMBARI                     
dhahE                          Dhahe                         
RRilo                          Rilo                          
Tinyu                          Tinu                          
Shatheo                        Shateho                       
HEPHA                          Hepha                         
wHohove                        Hohove                        
Jisuu                          Jishu                         
Mlume                          Mume                          
mego                           Mego                          
pabuvi                         Labuvi                        
Logosha                        Rogosha                       
Gibha                          Gipha                         
tohere                         Shere                         
nimo                           Nimu                          
Jijoo                          Jijo                          
LAKOME                         Lakomi                        
Shishui                        Shishugi                      
Vekufo                         Vekupo                        
Nuujelubu                      Nujelubu                      
Cdhoti                         Choti                         
Dekhyu                         Dekhu                         
dhalaga                        Dhalaga                       
Sile                           Silu                          
capo                           Sapo                          
HIPU                           Hipu                          
Hifoyaave                      Hipoyave                      
dOLAhAR                        Dopahar                       
NEJGIO                         Nejijo                        
Kishhhatu                      Kichhatu                      
Lajga                          Laga                          
Potee                          Pote                          
CHHAKHANADHH                   Chhakanadha                   
cechiva                        Dechiva                       
Mekeeduje                      Mekeduje                      
bomI                           Bomi                          
Tophahr                        Tophahe                       
skHOSU                         Sukhosu                       
jjethagi                       Jethagi                       
vuLOMo                         Vulomo                        
Hwmu                           Hamu                          
Khutahca                       Khutacha                      
Seru                           Seru                          
Vouha                          Vojha                         
khaNeHa                        Khaneha                       
vuchONaGa                      Vuchonaga                     
iSr                            Sir                           
LUPA                           Lupa                          
Loola                          Lola                          
Phutano                        Bhatano                       
ameer                          Ameer                         
mhakamu                        Jhakamu                       
Dhineeda                       Dhineeda                      
Mair                           Pair                          
chago                          Chago                         
NichI                          Nichi                         
Donnatha                       Dunatha                       
pivi                           Pibi                          
repa                           Repa                          
GUTI                           Guti                          
Poose                          Pooja                         
MOCHHASHE                      Mochhashe                     
Soshara                        Sashura                       
Dedasoa                        Dedasoka                      
NIIKA                          Nika                          
Gokhucha                       Gukhucha                      
BUGA                           Buga                          
Chake                          Choke                         
kochau                         Vochu                         
bhapah                         Bhapha                        
ladI                           Ladi                          
Dhodkla                        Dhokla                        
HHeju                          Sheju                         
Dhinida                        Dinida                        
Gipaa                          Gipha                         
oKlo                           Kolo                          
tolutaga                       Tolutaga                      
laGIne                         Lagine                        
Jihdamu                        Jidamu                        
Cumna                          Sunna                         
Lorua                          Loru                          
Dachuu                         Dachu                         
dMine                          Mine                          
Shehha                         Shegha                        
Jhaka                          Jhaka                         
Jichasukka                     Jichasuka                     
Meeloru                        Miloru                        
CoCHUEz                        CoCHUEz                       
leju                           Leju                          
MEETHa                         Meetha                        
pochhajo                       Pochhajo                      
JJehuru                        Jehuru                        
vijha                          Vijha                         
oTNno                          Tono                          
Cheetaajw                      Cheetaajw                     
rVuso                          Vuso                          
bIDosHa                        Bidosha                       
paGmo                          Pago                          
Dihumim                        Dihumi                        
Jajeo                          Jaje                          
phApeTO                        Phapeto                       
Chashzu                        Chashu                        
Sbivaje                        Shivaje                       
Dokhoqpe                       Dokhobe                       
Jhena                          Jhana                         
ddgha                          Digha                         
Lum                            Luma                          
Chotta                         Chotha                        
Thatlguli                      Thatoguli                     
Tduapu                         Tudapu                        
SaHI                           Sahi                          
eefpo                          Mepo                          
MISA                           Misa                          
Sabele                         Sabale                        
TilEHa                         Tileha                        
Jhutna                         Ghutna                        
DDuho                          Duho                          
cHosEE                         Choshe                        
Jhojha                         Jhajha                        
Khathe                         Khatha                        
noho                           Noho                          
DDiyayade                      Diyayade                      
Qewirishe                      Kevirishe                     
Chaluchho                      Chalucho                      
KKikhu                         Kikhu                         
Tdusa                          Tusa                          
Kokhho                         Kokho                         
Mheu                           Mehu                          
Vajla                          Vajha                         
Shucchha                       Shuchha                       
Tikha                          Tikha                         
Dashuvee                       Dashuve                       
Bkhhi                          Bukhi                         
mujelubu                       Nujelubu                      
KEBA                           Keba                          
Lel                            Lele                          
PENU                           Penu                          
tHAtIge                        Thatige                       
Ramma                          Rama                          
Jighe                          Jigha                         
Sonz                           Sona                          
Chupekha                       Shupekha                      
Killa                          Kila                          
Rapaheekha                     Rapahecha                     
Ggae                           Gage                          
KIKHAKE                        Kikhake                       
shOGHHa                        Shogha                        
Heeme                          Reema                         
Puji                           Pugi                          
qechhu                         Vechha                        
Naghesa                        Nugesa                        
Viikhoke                       Vikhoke                       
TODHA                          Todha                         
roaa                           Rona                          
Dati                           Date                          
Nikbokho                       Nikhokho                      
pimisida                       Pimisida                      
Abhama                         Bhaya                         
Ubhonu                         Ubhanu                        
Nnapagu                        Nupagu                        
LiRe                           Rire                          
GIVO                           Givo                          
gRegi                          Regi                          
jahaja                         Vuhaja                        
Shipibbo                       Shipibo                       
Pechhacha                      Pechhachu                     
Haqku                          Haku                          
Khatane                        Khatoni                       
keda                           Keda                          
bigina                         Bigina                        
Dachheccya                     Dachheccya                    
SOKHI                          Sokhi                         
Wora                           Vora                          
HeAk                           Heka                          
Qhuhe                          Khuhe                         
Kisherimu                      Kishelimo                     
Guto                           Goto                          
SHOKHOGU                       Shokhogu                      
timule                         Timule                        
Chadash                        Chadasho                      
Vache                          Vacha                         
Nkau                           Nau                           
Holije                         Holike                        
geljha                         Gejha                         
Jiilo                          Jilo                          
chaneti                        Chaneti                       
vinu                           Vinu                          
Blm                            Ben                           
iza                            Bua                           
LAEELA                         Lasila                        
TOKE                           Toke                          
Gevvi                          Gevi                          
Refa                           Reka                          
JIIMU                          Jimu                          
ide                            Lide                          
gevoruje                       Gevoruje                      
peshina                        Peshina                       
KHATA                          Khata                         
KuKhaA                         Kukha                         
Remmichu                       Remichu                       
Kishojji                       Kishoji                       
Psere                          Pere                          
Sohoshashu                     Shushashu                     
lhajesechha                    Phajesechha                   
Jiwu                           Jivu                          
sheti                          Sheti                         
Cohnooju                       Cohnooju                      
Miyva                          Miya                          
rivijaa                        Rivija                        
Kushaa                         Kusha                         
CChoto                         Choto                         
hejope                         Hejope                        
Btha                           Butha                         
Rayamome                       Leyamome                      
Husajha                        Husagha                       
Thachoo                        Thacho                        
Teldouuni                      Teloduni                      
Bebedhaayja                    Bebedhaayja                   
mivi                           Mivi                          
HEJAJUBE                       Hejajube                      
kuHaa                          Kuhana                        
ichi                           Tichi                         
Gibidta                        Gibita                        
munoko                         Munoko                        
Tuvu                           Tavu                          
Hugichhikhhu                   Hugichikhu                    
Vichgagha                      Vichhagha                     
niipy                          Nipi                          
KAJECHADE                      Kajechade                     
Pago                           Pago                          
medoda                         Nedoda                        
bRosHa                         Rosha                         
jazvvvu                        Javvu                         
nijo                           Nigo                          
Kireguu                        Kiregu                        
GoTuJI                         Gotuji                        
kashoji                        Kushoji                       
Dogufo                         Doguto                        
tibuno                         Tibuno                        
AAag                           Aag                           
toya                           Toya                          
Vvou                           Vovu                          
Bisedau                        Biseha                        
Bkoohi                         Kochi                         
hile                           Hile                          
Bikhgoha                       Bikhagha                      
kesi                           Kesi                          
Doludaga                       Tolutaga                      
khaSEvA                        Khaseva                       
ChONa                          Chona                         
Tiputobho                      Tiputobha                     
dHhAhEnA                       Dhahena                       
Keethase                       Kethase                       
uJnoho                         Junoho                        
Khitunebi                      Chitunebi                     
